Experiment,combo,MAE [m],F1 DLT,F1 FMASK,Bias [m],RMSE [m],R2 [-],nMAE [%]
01_baseline,_011,5.47±0.34,,,-3.20±0.73,7.53±0.45,0.43±0.07,24.32±1.18
01_baseline,_101,5.72±0.07,,,4.13±0.13,7.53±0.13,0.56±0.02,33.45±0.57
01_baseline,_110,7.68±0.10,,,-4.97±0.32,10.03±0.10,-0.41±0.03,28.92±0.23
02_pixel_composites,_011,4.70±0.26,,,-2.08±0.55,6.43±0.42,0.58±0.06,20.87±1.08
02_pixel_composites,_101,6.07±0.12,,,4.51±0.18,7.89±0.16,0.52±0.02,35.29±0.98
02_pixel_composites,_110,7.81±0.18,,,-5.15±0.38,10.13±0.19,-0.44±0.05,29.37±0.40
03_seasonal_composites,_011,4.80±0.15,,,-2.25±0.42,6.18±0.18,0.61±0.02,21.09±0.46
03_seasonal_composites,_101,4.39±0.14,,,1.58±0.22,5.81±0.13,0.71±0.01,25.92±0.72
03_seasonal_composites,_110,7.36±0.32,,,-5.69±0.47,9.55±0.40,-0.77±0.15,22.41±0.82
04_pixel_and_seasonal_comp,_011,5.29±0.53,,,-3.71±0.78,6.82±0.56,0.52±0.08,21.93±1.80
04_pixel_and_seasonal_comp,_101,4.49±0.13,,,1.95±0.44,5.97±0.18,0.69±0.02,26.60±1.17
04_pixel_and_seasonal_comp,_110,9.95±0.44,,,-9.16±0.49,12.13±0.48,-1.86±0.23,29.42±1.31
05_support_fmask_dlt,_011,5.05±0.52,,,-3.54±0.72,6.47±0.62,0.57±0.08,20.97±1.81
05_support_fmask_dlt,_101,4.42±0.12,,,2.09±0.45,5.82±0.16,0.70±0.02,25.21±0.79
05_support_fmask_dlt,_110,9.69±0.69,,,-9.01±0.74,11.81±0.71,-1.72±0.33,28.43±2.03
06_support_fmask_dlt_dem,_011,4.97±0.29,,,-3.28±0.35,6.37±0.32,0.59±0.04,20.79±0.85
06_support_fmask_dlt_dem,_101,4.43±0.20,,,1.57±0.57,5.80±0.19,0.70±0.02,25.09±1.25
06_support_fmask_dlt_dem,_110,8.43±0.11,,,-7.26±0.09,10.57±0.15,-1.17±0.07,25.02±0.40
07_aux_task,_011,5.73±0.48,0.91±0.00,0.99±0.00,-4.07±0.75,7.42±0.59,0.44±0.09,23.73±1.54
07_aux_task,_101,4.49±0.08,0.29±0.02,0.98±0.00,1.67±0.40,5.97±0.11,0.69±0.01,26.09±0.94
07_aux_task,_110,9.94±0.35,0.60±0.05,0.95±0.01,-9.08±0.45,12.20±0.39,-1.89±0.19,29.44±1.02
